74,N/A,Sonic Dash,May 5 2015,2.3.1.Go,54M,50000000 - 100000000,Low Maturity,Arcade,SEGA,https://play.google.com/store/apps/details?id=com.sega.sonicdash,com.sega.sonicdash
104,N/A,Family Guy The Quest for Stuff,May 13 2015,Medium Maturity,10000000 - 50000000,2.3.3 and up,TinyCo,Adventure,TinyCo,https://play.google.com/store/apps/details?id=com.tinyco.familyguy,com.tinyco.familyguy
110,N/A,My Singing Monsters,May 8 2015,1.3.3,44M,5000000 - 10000000,Low Maturity,Simulation,Big Blue Bubble,https://play.google.com/store/apps/details?id=com.bigbluebubble.singingmonsters.full,com.bigbluebubble.singingmonsters.full
118,N/A,3D Bowling,March 5 2015,2.81,12M,100000000 - 500000000,Medium Maturity,Sports,Italy Games,https://play.google.com/store/apps/details?id=com.threed.bowling,com.threed.bowling
97,N/A,Foot Surgery Simulator,April 26 2015,1.0.5,20M,1000000 - 5000000,Medium Maturity,Casual,6677g.com,https://play.google.com/store/apps/details?id=com.tp.android.footsurgery,com.tp.android.footsurgery
96,N/A,Road Riot,April 23 2015,1.22.52,47M,10000000 - 50000000,Low Maturity,Racing,Tango,https://play.google.com/store/apps/details?id=me.tango.roadriot,me.tango.roadriot
114,N/A,DomiNations,May 12 2015,Low Maturity,1000000 - 5000000,3.0 and up,NEXON M Inc.,Strategy,NEXON M Inc.,https://play.google.com/store/apps/details?id=com.nexonm.dominations.adk,com.nexonm.dominations.adk
61,N/A,Does not Commute,May 13 2015,1.1.1,41M,1000000 - 5000000,Everyone,Racing,Mediocre,https://play.google.com/store/apps/details?id=com.mediocre.commute,com.mediocre.commute
93,N/A,Looney Tunes Dash!,May 8 2015,Low Maturity,10000000 - 50000000,4.0.3 and up,Zynga,Casual,Zynga,https://play.google.com/store/apps/details?id=com.zynga.looney,com.zynga.looney
91,N/A,Twenty48,May 5 2015,1.0,20M,50000 - 100000,Low Maturity,Puzzle,Hole In One Studios,https://play.google.com/store/apps/details?id=com.holeinone.twenty48,com.holeinone.twenty48
76,N/A,Bejeweled Blitz,May 11 2015,1.9.0.70,45M,10000000 - 50000000,Everyone,Puzzle,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.ea.BejeweledBlitz_na,com.ea.BejeweledBlitz_na
77,N/A,Peppa in the Supermarket,May 4 2015,1.0.7,17M,1000000 - 5000000,Low Maturity,Family,Peppa pig games,https://play.google.com/store/apps/details?id=com.PSVStudio.PeppaInTheSupermarket,com.PSVStudio.PeppaInTheSupermarket
80,N/A,Words With Friends,April 29 2015,Varies with device,Varies with device,5000000 - 10000000,Medium Maturity,Word,Zynga,https://play.google.com/store/apps/details?id=com.zynga.wwf2.free,com.zynga.wwf2.free
70,N/A,Pet Rescue Saga,May 7 2015,1.43.2,44M,100000000 - 500000000,Everyone,Casual,King,https://play.google.com/store/apps/details?id=com.king.petrescuesaga,com.king.petrescuesaga
78,N/A,myVEGAS Slots Free Casino,April 21 2015,1.16.1,32M,5000000 - 10000000,Medium Maturity,Casino,PlayStudios,https://play.google.com/store/apps/details?id=com.playstudios.myvegas,com.playstudios.myvegas
150,N/A,Dragon City,April 22 2015,Everyone,10000000 - 50000000,4.0 and up,socialpoint,Simulation,socialpoint,https://play.google.com/store/apps/details?id=es.socialpoint.DragonCity,es.socialpoint.DragonCity
136,N/A,Cookie Story,May 12 2015,1.0.1,11M,50000 - 100000,Low Maturity,Puzzle,pixelementgame,https://play.google.com/store/apps/details?id=com.xmatch.cookiestory2,com.xmatch.cookiestory2
153,N/A,Shadow Fight 2,April 6 2015,1.9.7,90M,10000000 - 50000000,Medium Maturity,Action,NEKKI,https://play.google.com/store/apps/details?id=com.nekki.shadowfight,com.nekki.shadowfight
172,N/A,Cars: Fast as Lightning,March 11 2015,1.2.1b,24M,10000000 - 50000000,Everyone,Racing,Gameloft,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftCAHM,com.gameloft.android.ANMP.GloftCAHM
143,N/A,Run,February 13 2015,1.9.4,26M,5000000 - 10000000,Everyone,Arcade,Kongregate,https://play.google.com/store/apps/details?id=com.kongregate.mobile.run.google,com.kongregate.mobile.run.google
161,N/A,Pixel Gun 3D,April 30 2015,9.4.2,277M,10000000 - 50000000,Low Maturity,Action,RiliSoft,https://play.google.com/store/apps/details?id=com.pixel.gun3d,com.pixel.gun3d
122,N/A,Wizard of Oz Slots Free Casino,April 29 2015,10.0.245,46M,1000000 - 5000000,Medium Maturity,Casino,Zynga,https://play.google.com/store/apps/details?id=com.zynga.wizardofoz,com.zynga.wizardofoz
177,N/A,Family Feud® 2,April 29 2015,1.10.2,38M,1000000 - 5000000,Low Maturity,Trivia,Ludia Inc.,https://play.google.com/store/apps/details?id=com.ludia.familyfeudblitz,com.ludia.familyfeudblitz
168,N/A,Agent Alice,May 11 2015,Medium Maturity,5000000 - 10000000,4.0.3 and up,Wooga,Puzzle,Wooga,https://play.google.com/store/apps/details?id=com.wooga.agentalice,com.wooga.agentalice
171,N/A,Caesars Slots and Free Casino,May 5 2015,Medium Maturity,5000000 - 10000000,2.3.3 and up,Playtika,Casino,Playtika,https://play.google.com/store/apps/details?id=com.playtika.caesarscasino,com.playtika.caesarscasino
